63611,66060,68166,62184,60088,46089,47855,48005,35753,30432,24916,16783,8921,5565,2411
13452,14838,19449,14271,17574,19468,16801,18408,12063,11620,8157,2706,1948,680,280
35764,30930,33132,30490,31912,32832,36661,38365,43969,37813,31910,25918,17132,5790,3028
13270,13798,15748,13101,14453,12936,17962,19726,16462,15478,11849,9094,4351,1370,425
34351,35896,28164,24863,30193,23882,33433,33207,37232,30262,21772,18844,10147,3137,445
50238,50904,51804,58339,50332,46484,48679,49660,42320,39128,37809,35808,19886,10922,5860
26730,31994,30936,31994,32905,38682,32380,29207,22976,20979,16167,17575,9098,5609,1952
18187,17142,16118,19729,18249,21562,19147,17237,15194,17633,18820,12484,6333,4515,1716
53755,54885,55705,48765,55284,55201,55138,48271,48510,49291,50083,35732,23323,11612,6371
15765,17762,26044,22384,23040,19160,24039,24728,23841,24596,16101,12357,6856,2049,633
20528,20823,15793,18213,19996,20959,19864,19050,14652,11922,11612,9950,7487,4746,2346
4415,5781,7115,10049,8952,6487,12461,12622,11291,11414,8106,4626,2153,1199,1358
6154,6585,8436,8904,6204,5305,4222,4988,3482,4861,6383,2918,886,75,0
30125,27079,32463,34783,33048,21666,16203,13544,17684,15975,13510,11343,5391,3531,1762
22781,25270,27131,22408,21407,24896,28806,29681,25240,22120,19823,16675,8125,2989,1691
9437,10171,10831,10694,15744,10877,11317,10021,9445,6140,3688,4645,2203,1984,333
41784,35655,36971,41944,49088,49281,56689,53876,53435,58166,45943,33036,23126,11972,4168
16619,18659,20035,19443,17832,20751,18495,19528,20516,19448,20424,9972,6464,2023,903
39528,40241,48793,43536,43163,45936,48019,45387,38853,36408,30436,26156,15098,7815,2710
19353,20482,22348,24557,22907,27383,27263,25482,25425,19206,22081,17873,12716,5963,3048
9160,10088,9491,7572,4124,6021,5708,3003,1124,1128,1638,579,709,208,0
27225,30325,30431,29706,31113,34876,36358,38729,31218,31580,26023,17895,8339,3142,1434
15462,16617,9400,10178,12405,11250,9202,8926,7256,6467,5052,3701,1487,368,527
32794,32214,23657,21530,17827,16777,7772,6574,4558,4720,6777,5795,2332,1750,581
62894,63892,52497,50574,53336,51225,57294,53304,53528,46213,40704,31134,24088,11196,4682
6778,6341,4759,3692,5811,3541,3935,3493,2647,2742,1673,1619,719,212,250
4479,3930,3766,4886,4760,6474,10929,8318,10133,6997,7028,6352,2723,459,0
78869,81899,73483,77662,89824,83320,80133,76814,73050,68082,61505,40975,27365,13795,6858
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6665,4127,2325,820,1292,1467,1411,1936,5537,5904,3193,2449,1814,957,0
16729,16071,12093,13690,12805,12786,15254,14427,11576,11160,10655,5938,2797,1108,302
30227,31063,30376,28456,29700,27437,35196,35179,34654,29045,27450,23679,12299,6076,1731
7594,10658,7350,10309,12203,10282,12429,11947,8227,9123,6177,3183,1260,398,323
49407,44318,45404,43618,40528,36790,41874,30883,30022,29580,26169,11593,9362,5612,1077
25255,25478,25344,21337,24483,22679,24268,19203,18412,18054,18108,13583,6831,4382,3420
9767,11901,11771,12507,15310,13767,10926,8080,11908,10006,8741,5699,3928,2085,1006
25199,24984,23621,27061,29917,25056,22979,25745,24775,21507,22269,14357,8297,5626,2691
14121,15535,12870,7486,7531,6770,8566,10568,11695,11450,9019,5752,2281,1617,0
39207,34503,31953,37316,37917,38704,39638,39318,36348,32192,20703,13487,10276,5206,2674
23264,23718,25699,26668,28841,25367,19176,15095,11047,7245,6287,4065,4295,1947,481
33911,41486,46883,39779,47881,49725,54211,48089,37950,35489,29687,24498,20419,9943,3360
13705,15584,16658,19981,18618,21964,21768,22962,26415,34789,30603,21351,12365,5122,3513
54967,57498,52106,52316,50704,52665,50162,56214,51748,42012,31892,26233,11690,5891,2235
9585,7943,6131,6003,9943,10039,7365,6499,6046,7923,4785,4522,2135,991,380
23310,16695,18476,15697,18994,18856,22963,20645,13195,15352,19197,12365,9540,4623,2620
40125,30979,36512,34577,32837,42592,31653,32459,29842,34745,30817,21865,15550,6953,2428
37375,35988,31242,37310,39042,38986,43950,47273,43790,49573,44546,30755,13611,7479,3423
21222,22706,29387,25974,23867,25537,24883,27150,25858,15966,15273,8609,3050,1814,481
12436,15954,13591,8973,5353,4634,4382,2587,2771,2404,2290,2016,957,513,344
64712,71900,87159,92294,90439,82702,82005,88883,77256,77197,67517,48093,30560,13563,5897
3421,1570,877,279,59,700,0,0,0,0,0,0,0,0,0
10333,10067,9718,8923,6702,4876,5081,5440,4428,2930,1591,2430,1220,317,159
14806,15259,13040,10865,9236,8109,11664,13230,11534,7606,7548,5600,916,55,0
15272,14177,13541,10526,10212,5131,7550,5602,6672,2235,2573,1079,738,497,45
63494,57932,56237,64609,65939,77389,74233,64890,55789,50636,45480,36221,18640,11549,5918
14010,17532,15049,14995,12630,10053,9904,10210,12529,10785,11559,8847,6544,3177,1451
18597,13646,12392,9652,13814,12269,11459,13100,18881,21043,17154,15230,5818,2785,1904
55420,60605,62248,54285,56613,50174,49758,56363,59328,64875,64910,43383,30644,17688,8852
38595,27086,27090,23285,24746,26739,29626,34946,37841,29546,25204,21733,15604,8867,2871
20395,26714,24936,22659,20490,12999,13689,7859,7893,7561,5222,3172,1130,276,0
17125,22724,24356,21884,21657,22715,24991,23949,22799,21456,16301,19699,12843,3549,974
107598,109203,106536,101038,103992,94901,108431,133010,146849,145425,124580,84308,52304,23404,8939
11320,11154,7462,10592,9287,8652,8649,9182,9609,8694,6247,4773,1821,1080,595
96070,102766,102193,108850,103848,101864,107048,100795,91509,78231,69943,49904,29346,14912,6990
6919,5920,7712,3685,5282,3940,5746,2641,1540,1404,2989,2962,2251,1210,517
